Rank,Country,GNI per capita (US$)[1],Year,Income Category
1,Liechtenstein,"116,430",2009,High
2,Switzerland,"85,500",2019,High
3,Norway,"82,500",2019,High
4,Luxembourg,"73,910",2019,High
5,Iceland,"72,850",2019,High
6,USA,"65,760",2019,High
7,Qatar,"63,410",2019,High
8,Denmark,"63,240",2019,High
9,Ireland,"62,210",2019,High
10,Singapore,"59,590",2019,High
11,Sweden,"55,840",2019,High
12,Australia,"54,910",2019,High
13,Netherlands,"53,200",2019,High
14,Austria,"51,300",2019,High
15,Finland,"49,580",2019,High
16,Germany,"48,520",2019,High
17,Belgium,"47,350",2019,High
18,Canada,"46,370",2019,High
19,United Arab Emirates,"43,470",2019,High
20,Israel,"43,290",2019,High
21,New Zealand,"42,670",2019,High
22,France,"42,400",2019,High
23,United Kingdom,"42,370",2019,High
24,Japan,"41,690",2019,High
25,Italy,"34,460",2019,High
26,Kuwait,"34,290",2018,High
27,South Korea,"33,720",2019,High
28,Brunei,"32,230",2019,High
29,Bahamas,"31,780",2019,High
30,Spain,"30,390",2019,High
31,Cyprus,"27,710",2019,High
32,Malta,"27,290",2019,High
33,Taiwan,"26,594",2019,High
34,Slovenia,"25,750",2019,High
35,Estonia,"23,220",2019,High
36,Portugal,"23,080",2019,High
37,Saudi Arabia,"22,850",2019,High
38,Bahrain,"22,110",2019,High
39,Czechia,"22,000",2019,High
40,Greece,"20,320",2019,High
41,Slovakia,"19,320",2019,High
42,Saint Kitts and Nevis,"19,230",2019,High
43,Lithuania,"18,990",2019,High
44,Latvia,"17,730",2019,High
45,Barbados,"17,380",2019,High
46,Palau,"17,280",2018,High
47,Trinidad and Tobago,"16,890",2019,High
48,Seychelles,"16,870",2019,High
49,Antigua and Barbuda,"16,660",2019,High
50,Uruguay,"16,230",2019,High
51,Hungary,"16,140",2019,High
52,Oman,"15,330",2019,High
53,Poland,"15,200",2019,High
54,Chile,"15,010",2019,High
55,Panama,"14,950",2019,High
56,Croatia,"14,910",2020,High
57,Nauru,"14,230",2019,High
58,Mauritius,"12,740",2019,High
59,Romania,"12,630",2019,High
60,Venezuela,"13,080",2014,Upper Middle
61,Costa Rica,"11,700",2019,Upper Middle
62,Russia,"11,260",2019,Upper Middle
63,Malaysia,"11,230",2019,Upper Middle
64,Argentina,"11,200",2019,Upper Middle
65,Saint Lucia,"11,020",2019,Upper Middle
66,China,"10,410",2019,Upper Middle
67,Grenada,"9,980",2019,Upper Middle
68,Maldives,"9,650",2019,Upper Middle
69,Turkey,"9,610",2019,Upper Middle
70,Mexico,"9,430",2019,Upper Middle
71,Bulgaria,"9,410",2019,Upper Middle
72,Brazil,"9,130",2019,Upper Middle
73,Montenegro,"9,010",2019,Upper Middle
74,Kazakhstan,"8,810",2019,Upper Middle
75,Dominican Republic,"8,090",2019,Upper Middle
76,Dominica,"8,090",2019,Upper Middle
77,Botswana,"7,660",2019,Upper Middle
78,Libya,"7,640",2019,Upper Middle
79,Lebanon,"7,600",2019,Upper Middle
80,Cuba,"7,480",2016,Upper Middle
81,Saint Vincent and the Grenadines,"7,460",2019,Upper Middle
82,Thailand,"7,260",2019,Upper Middle
83,Gabon,"7,210",2019,Upper Middle
84,Serbia,"7,020",2019,Upper Middle
85,Turkmenistan,"6,740",2018,Upper Middle
86,Peru,"6,740",2019,Upper Middle
87,Colombia,"6,510",2019,Upper Middle
88,Equatorial Guinea,"6,460",2019,Upper Middle
89,Belarus,"6,280",2019,Upper Middle
90,Bosnia and Herzegovina,"6,150",2019,Upper Middle
91,Ecuador,"6,080",2019,Upper Middle
92,South Africa,"6,040",2019,Upper Middle
93,North Macedonia,"5,910",2019,Upper Middle
94,Fiji,"5,860",2019,Upper Middle
95,Iraq,"5,740",2019,Upper Middle
96,Tuvalu,"5,620",2019,Upper Middle
97,Suriname,"5,540",2019,Upper Middle
98,Paraguay,"5,540",2019,Upper Middle
99,Iran,"5,420",2017,Upper Middle
100,Jamaica,"5,250",2019,Upper Middle
101,Albania,"5,240",2019,Upper Middle
102,Guyana,"5,180",2019,Upper Middle
103,Namibia,"5,060",2019,Upper Middle
104,Marshall Islands,"4,860",2018,Upper Middle
105,Georgia,"4,740",2019,Upper Middle
106,Armenia,"4,680",2019,Upper Middle
107,Kosovo,"4,640",2019,Upper Middle
108,Guatemala,"4,610",2019,Upper Middle
109,Azerbaijan,"4,480",2019,Upper Middle
